# AU Suburbs Gazetteer (v0.4.1)
# Source: matthewproctor/australianpostcodes (CC0)
# Generated: 16165 unique suburb names
# Format: suburb_name|state1,state2,...
Aarons Pass|NSW
Abba River|WA
Abbey|WA
Abbeyard|VIC
Abbeywood|QLD
Abbotsbury|NSW
Abbotsford|NSW,QLD,VIC
Abbotsham|TAS
Abels Bay|TAS
Abercorn|QLD
Abercrombie|NSW
Abercrombie River|NSW
Aberdare|NSW
Aberdeen|NSW,TAS
Aberfeldie|VIC
Aberfeldy|VIC
Aberfoyle|NSW
Aberfoyle Park|SA
Aberglasslyn|NSW
Abergowrie|QLD
Abermain|NSW
Abernethy|NSW
Abingdon Downs|QLD
Abington|NSW,QLD
Abminga Station|SA
Acacia Creek|NSW
Acacia Gardens|NSW
Acacia Hills|NT,TAS
Acacia Park|NSW
Acacia Plateau|NSW
Acacia Ridge|QLD
Acacia Ridge Bc|QLD
Acacia Ridge Dc|QLD
Acheron|VIC
Acland|QLD
Acton|ACT,TAS
Acton Park|TAS,WA
Ada|VIC
Adaminaby|NSW
Adams Estate|VIC
Adamstown|NSW
Adamstown Heights|NSW
Adamsvale|WA
Adare|QLD
Adavale|QLD
Addington|VIC
Adelaide|SA
Adelaide Airport|SA
Adelaide Bc|SA
Adelaide Lead|VIC
Adelaide Park|QLD
Adelaide River|NT
Adelong|NSW
Adjungbilly|NSW
Advancetown|QLD
Adventure Bay|TAS
Aeroglen|QLD
Afterlee|NSW
Agery|SA
Agnes|VIC
Agnes Banks|NSW
Agnes Water|QLD
Agnew|WA
Aherrenge|NT
Ailsa|VIC
Ainslie|ACT
Aintree|VIC
Airdmillan|QLD
Airds|NSW
Aire Valley|VIC
Aireys Inlet|VIC
Airlie Beach|QLD
Airly|NSW,VIC
Airport West|VIC
Airville|QLD
Aitkenvale|QLD
Aitkenvale Bc|QLD
Ajana|WA
Akaroa|TAS
Akolele|NSW
Akuna Bay|NSW
Alabama Hill|QLD
Alanvale|TAS
Alawa|NT
Alawoona|SA
Albacutya|VIC
Albanvale|VIC
Albany|WA
Albany Creek|QLD
Albany Dc|WA
Albert|NSW
Albert Park|SA,VIC
Alberta|QLD
Alberton|QLD,SA,TAS,VIC
Alberton West|VIC
Albinia|QLD
Albion|QLD,VIC
Albion Bc|QLD
Albion Dc|QLD
Albion Heights|TAS
Albion Park|NSW
Albion Park Rail|NSW
Albury|NSW
Albury Msc|NSW
Alcomie|TAS
Aldavilla|NSW
Alderley|QLD
Aldershot|QLD
Aldersyde|WA
Aldgate|SA
Aldinga|SA
Aldinga Beach|SA
Aldoga|QLD
Alectown|NSW
Alexander Heights|WA
Alexandra|QLD,VIC
Alexandra Bridge|WA
Alexandra Headland|QLD
Alexandra Hills|QLD
Alexandria|NSW,QLD
Alexandria Mc|NSW
Alford|SA
Alfords Point|NSW
Alfred Cove|WA
Alfredton|VIC
Alfredtown|NSW
Algester|QLD
Ali Curung|NT
Alice|NSW
Alice Creek|QLD
Alice River|QLD
Alice Springs|NT
Alison|NSW
Alkimos|WA
Allambee|VIC
Allambee Reserve|VIC
Allambee South|VIC
Allambie|NSW
Allambie Heights|NSW
Allan|QLD
Allandale|NSW,QLD
Allandale Station|SA
Allanooka|WA
Allans Flat|VIC
Allansford|VIC
Allanson|WA
Allawah|NSW
Alleena|NSW
Allenby Gardens|SA
Allendale|VIC
Allendale East|SA
Allendale North|SA
Allens Rivulet|TAS
Allenstown|QLD
Allenview|QLD
Allestree|VIC
Allgomera|NSW
Allgomera Creek|NSW
Alligator Creek|QLD
Allingham|QLD
Allora|QLD
Alloway|QLD
Allworth|NSW
Allynbrook|NSW
Alma|SA,VIC,WA
Alma Park|NSW
Almaden|QLD
Almonds|VIC
Almurta|VIC
Alonnah|TAS
Aloomba|QLD
Alpana|SA
Alpha|QLD
Alphington|VIC
Alpine|NSW
Alpurrurulam|QLD
Alroy|QLD
Alsace|QLD
Alstonvale|NSW
Alstonville|NSW
Altandi|QLD
